"sample_id"	"destination_relative_path"	"cohort_relative_path"	"file_name"	"extension"	"size_bytes_local_reference"	"raw_match_status"	"local_raw_relative_path"	"source_url"	"unpack_method"	"notes"
"build_visium_cohort.py"	"visium_cohort_clean\build_visium_cohort.py"	"build_visium_cohort.py"	"build_visium_cohort.py"	".py"	"18092"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"dataset_summary.csv"	"visium_cohort_clean\dataset_summary.csv"	"dataset_summary.csv"	"dataset_summary.csv"	".csv"	"1190"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"excluded_duplicate_samples.csv"	"visium_cohort_clean\excluded_duplicate_samples.csv"	"excluded_duplicate_samples.csv"	"excluded_duplicate_samples.csv"	".csv"	"24124"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"manifest.csv"	"visium_cohort_clean\manifest.csv"	"manifest.csv"	"manifest.csv"	".csv"	"10458"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"raw_inventory.csv"	"visium_cohort_clean\raw_inventory.csv"	"raw_inventory.csv"	"raw_inventory.csv"	".csv"	"293052"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"SAMPLE_0000"	"visium_cohort_clean\SAMPLE_0000\metadata.json"	"SAMPLE_0000\metadata.json"	"metadata.json"	".json"	"1598"	"no_unique_raw_match"	""	""	"needs_manual_mapping"	"This describes the expected file in visium_cohort_clean."
"SAMPLE_0000"	"visium_cohort_clean\SAMPLE_0000\raw\GSM5732357_A_raw_feature_bc_matrix.h5"	"SAMPLE_0000\raw\GSM5732357_A_raw_feature_bc_matrix.h5"	"GSM5732357_A_raw_feature_bc_matrix.h5"	".h5"	"31010159"	"unique_raw_filename_match"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_raw_feature_bc_matrix.h5"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_raw_feature_bc_matrix.h5"	"copy_from_downloaded_raw"	"This describes the expected file in visium_cohort_clean."
"SAMPLE_0000"	"visium_cohort_clean\SAMPLE_0000\spatial\GSM5732357_A_scalefactors_json.json"	"SAMPLE_0000\spatial\GSM5732357_A_scalefactors_json.json"	"GSM5732357_A_scalefactors_json.json"	".json"	"157"	"unique_raw_filename_match"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_scalefactors_json.json"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_scalefactors_json.json"	"copy_from_downloaded_raw"	"This describes the expected file in visium_cohort_clean."
"SAMPLE_0000"	"visium_cohort_clean\SAMPLE_0000\spatial\GSM5732357_A_tissue_hires_image.png"	"SAMPLE_0000\spatial\GSM5732357_A_tissue_hires_image.png"	"GSM5732357_A_tissue_hires_image.png"	".png"	"15248039"	"unique_raw_filename_match"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_hires_image.png"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_hires_image.png"	"copy_from_downloaded_raw"	"This describes the expected file in visium_cohort_clean."
"SAMPLE_0000"	"visium_cohort_clean\SAMPLE_0000\spatial\GSM5732357_A_tissue_positions_list.csv"	"SAMPLE_0000\spatial\GSM5732357_A_tissue_positions_list.csv"	"GSM5732357_A_tissue_positions_list.csv"	".csv"	"191807"	"unique_raw_filename_match"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_positions_list.csv"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_positions_list.csv"	"copy_from_downloaded_raw"	"This describes the expected file in visium_cohort_clean."
