"record_type"	"source_accession_gse"	"source_accession_gsm"	"source_url"	"source_url_status"	"local_raw_relative_path"	"destination_relative_path"	"file_name"	"file_role"	"unpack_method"	"size_bytes_local_reference"	"sha256_local_reference"	"notes"
"raw_source_file"	""	""	""	"local_documentation_not_required"	"raw_visium_new\geo page 616.png"	"raw_visium_new\geo page 616.png"	"geo page 616.png"	"local_documentation"	"not_required_for_public_reconstruction"	"259134"	""	"Local screenshot or note file used during manual curation. Not required to reconstruct Visium inputs."
"raw_source_file"	"GSE190811"	""	""	"local_documentation_not_required"	"raw_visium_new\GSE190811_RAW\geo page 811.png"	"raw_visium_new\GSE190811_RAW\geo page 811.png"	"geo page 811.png"	"local_documentation"	"not_required_for_public_reconstruction"	"268003"	""	"Local screenshot or note file used during manual curation. Not required to reconstruct Visium inputs."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_1938345_11.jpg"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_1938345_11.jpg"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_1938345_11.jpg"	"GSM5732357_A_1938345_11.jpg"	"raw_source"	"download_only"	"59054167"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_1938345_11.jpg.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_1938345_11.jpg.gz"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_1938345_11.jpg.gz"	"GSM5732357_A_1938345_11.jpg.gz"	"raw_source"	"download_only"	"55180850"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_raw_feature_bc_matrix.h5"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_raw_feature_bc_matrix.h5"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_raw_feature_bc_matrix.h5"	"GSM5732357_A_raw_feature_bc_matrix.h5"	"raw_source"	"download_only"	"31010159"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_scalefactors_json.json"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_scalefactors_json.json"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_scalefactors_json.json"	"GSM5732357_A_scalefactors_json.json"	"raw_source"	"download_only"	"157"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_scalefactors_json.json.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_scalefactors_json.json.gz"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_scalefactors_json.json.gz"	"GSM5732357_A_scalefactors_json.json.gz"	"raw_source"	"download_only"	"161"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_hires_image.png"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_hires_image.png"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_hires_image.png"	"GSM5732357_A_tissue_hires_image.png"	"raw_source"	"download_only"	"15248039"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_hires_image.png.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_hires_image.png.gz"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_hires_image.png.gz"	"GSM5732357_A_tissue_hires_image.png.gz"	"raw_source"	"download_only"	"15252269"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_positions_list.csv"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_positions_list.csv"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_positions_list.csv"	"GSM5732357_A_tissue_positions_list.csv"	"raw_source"	"download_only"	"191807"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732357"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732357/suppl/GSM5732357_A_tissue_positions_list.csv.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_positions_list.csv.gz"	"raw_visium_new\GSE190811_RAW\GSM5732357_A_tissue_positions_list.csv.gz"	"GSM5732357_A_tissue_positions_list.csv.gz"	"raw_source"	"download_only"	"68115"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_1938529_9.jpg"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_1938529_9.jpg"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_1938529_9.jpg"	"GSM5732358_B_1938529_9.jpg"	"raw_source"	"download_only"	"74106928"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_1938529_9.jpg.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_1938529_9.jpg.gz"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_1938529_9.jpg.gz"	"GSM5732358_B_1938529_9.jpg.gz"	"raw_source"	"download_only"	"71933155"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_raw_feature_bc_matrix.h5"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_raw_feature_bc_matrix.h5"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_raw_feature_bc_matrix.h5"	"GSM5732358_B_raw_feature_bc_matrix.h5"	"raw_source"	"download_only"	"36372569"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_scalefactors_json.json"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_scalefactors_json.json"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_scalefactors_json.json"	"GSM5732358_B_scalefactors_json.json"	"raw_source"	"download_only"	"167"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_scalefactors_json.json.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_scalefactors_json.json.gz"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_scalefactors_json.json.gz"	"GSM5732358_B_scalefactors_json.json.gz"	"raw_source"	"download_only"	"164"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_tissue_hires_image.png"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_hires_image.png"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_hires_image.png"	"GSM5732358_B_tissue_hires_image.png"	"raw_source"	"download_only"	"17701143"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_tissue_hires_image.png.gz"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_hires_image.png.gz"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_hires_image.png.gz"	"GSM5732358_B_tissue_hires_image.png.gz"	"raw_source"	"download_only"	"17706597"	""	"Candidate URL inferred from GSM accession when available."
"raw_source_file"	"GSE190811"	"GSM5732358"	"https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5732nnn/GSM5732358/suppl/GSM5732358_B_tissue_positions_list.csv"	"candidate_geo_ftp_url"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_positions_list.csv"	"raw_visium_new\GSE190811_RAW\GSM5732358_B_tissue_positions_list.csv"	"GSM5732358_B_tissue_positions_list.csv"	"raw_source"	"download_only"	"191750"	""	"Candidate URL inferred from GSM accession when available."
